Gene	D1	D2	D3	D4	D5	Path	Genetype
Gene161	0.09	-0.22	1.09	-0.31	-0.19	P3	Coding
Gene162	-0.11	0.37	-0.34	0.77	-0.16	P3	Coding
Gene163	1.46	-0.35	-0.48	0.57	-0.63	P3	Coding
Gene164	0.97	-0.12	0.07	-0.19	-0.79	P3	Coding
Gene165	0.37	1.9	-0.89	-0.82	-0.83	P3	Coding
Gene166	-0.93	-0.05	-0.46	0.01	0.01	P3	Coding
Gene167	0.24	1.75	1.15	-0.8	0.07	P3	Coding
Gene168	0.18	-0.48	-0.07	-1.07	-1.62	P3	Coding
Gene169	1.02	-0.07	-1.37	-0.35	0.29	P3	Coding
Gene170	0.1	-0.69	1.33	-0.29	-0.94	P3	Coding
Gene171	1.44	-0.31	-0.56	-1.09	-0.76	P4	Coding
Gene172	0.68	1.09	0.67	-1.3	0.49	P4	Coding
Gene173	1.63	-0.89	0.59	2.56	-0.41	P4	Coding
Gene174	0.97	0.97	-1.34	-1.05	-0.39	P4	Coding
Gene175	-1.08	1.25	-0.31	1.91	-0.09	P4	Coding
Gene176	1.39	1.58	0.22	-2.19	-0.61	P4	Noncoding
Gene177	-2.18	-0.45	-0.79	-0.72	0.14	P4	Noncoding
Gene178	-1.56	2.02	-0.69	2.75	-0.22	P4	Noncoding
Gene179	0.01	-2.36	0.31	-1.04	-0.96	P4	Noncoding
Gene180	1.08	2.06	0.69	-2.07	1.82	P4	Noncoding
Gene181	1.41	1.5	-0.58	-1.36	0.18	P4	Noncoding
Gene182	-0.36	-0.47	-0.36	1.1	0.41	P4	Noncoding
Gene183	0.45	1.06	-1.69	0.33	0.29	P4	Noncoding
Gene184	1.28	0.06	0.44	-0.72	-0.26	P4	Noncoding
Gene185	1.75	-0.2	-0.96	-0.4	-0.4	P4	Noncoding
Gene186	-0.24	-0.46	-0.16	-0.01	-1.17	P4	Noncoding
Gene187	1.43	-0.83	-0.17	1.07	1.06	P4	Noncoding
Gene188	-0.56	1.83	-0.26	-0.39	1.12	P4	Noncoding
Gene189	-1.1	0.64	-1.67	-1.58	-1.23	P4	Noncoding
Gene190	-0.26	0.72	-1.02	-0.68	-0.31	P4	Noncoding
Gene191	-1.18	-0.29	0.95	0.68	-0.62	P4	Noncoding
Gene192	0.18	-0.28	0.91	0.68	0.17	P4	Noncoding
Gene193	-1.12	-1.7	-1.76	-0.9	-0.88	P4	Noncoding
Gene194	1.31	-0.48	-0.75	-0.13	-0.99	P4	Noncoding
Gene195	-0.45	1.98	1.81	-0.18	-3.23	P4	Noncoding
Gene196	0.35	-0.21	-1.33	0.12	-0.49	P4	Noncoding
Gene197	-0.42	0.49	-0.19	2.25	1.23	P4	Noncoding
Gene198	-2.69	-1.42	0	0.14	0.09	P4	Noncoding
Gene199	1.76	1.02	0.06	-0.79	0.69	P4	Noncoding
Gene200	-2.28	0.15	-0.13	1.89	-1.57	P4	Noncoding
