Gene	R2	R4	R6	R8	D2	D4	D6	D8	Path
G37	8.999951997	8.916170072	8.860336263	8.678619425	10.10774668	9.501281351	10.39904298	9.706964434	P1
G38	10.24471003	10.00970388	10.00728174	9.782202111	10.61207102	10.09339786	10.92699054	10.63351732	P1
G39	7.786890126	7.686197123	7.686869668	8.376454019	8.487994161	7.659714938	7.753856997	7.680075843	P1
G40	8.791774385	8.848996097	9.03118153	8.646738071	9.259334064	9.117694693	9.504699351	9.452390681	P1
G41	8.651967361	7.888952846	8.96214919	8.643751975	8.674209462	9.020443825	8.701480374	8.760237349	P1
G42	10.07703453	9.549238703	10.53355614	10.10629734	9.48928053	9.532084967	9.378597917	9.520517417	P1
G43	7.574282537	7.897850018	7.778001018	7.925517964	7.725186134	7.863896643	7.751350251	7.742478236	P1
G44	9.613242042	9.75734087	9.562988189	9.574437269	9.487452843	9.913803673	9.820471585	9.85010865	P1
G45	10.31816044	10.40570596	10.28377206	10.47160764	10.37025761	10.9958447	10.68577534	10.86988834	P1
G46	7.805731312	7.482820349	7.519634136	7.727149778	7.841757252	7.908927314	8.282035959	7.862027422	P1
G47	7.482820349	7.45460647	7.504666553	7.41937779	7.632630392	7.761530577	7.738921527	7.795575807	P1
G48	8.295413631	7.707833682	7.680075843	7.666960214	7.826536696	7.722532807	7.592117616	7.693836232	P1
G49	8.807391302	8.574601919	9.166499575	8.753867654	10.07341882	10.05772489	9.845341557	10.03353363	P1
G50	9.813735632	9.973724627	10.15723625	10.48640787	8.535525377	8.407322634	8.206542995	8.230541794	P1
G51	8.162939684	7.816586389	7.745943314	7.809642394	7.79120791	7.798970761	7.701311585	7.811533238	P1
G52	7.887928674	8.106820282	7.949736906	8.15537004	8.240358303	8.058122832	8.101707153	8.068978015	P1
G53	10.00728174	10.04920256	10.65698244	10.27015708	12.09045064	11.89130812	11.82092528	11.83832452	P1
G54	9.200679714	9.288408671	8.990522042	9.112387058	9.63887748	10.57663143	10.25080739	10.27474028	P1
G55	8.800935455	8.587826549	8.36971077	8.512846092	7.974297426	8.136642055	7.997665165	8.05460456	P1
G56	8.353457907	8.069964641	9.518919956	9.29772999	8.500225017	8.662492845	8.433707844	8.493129344	P1
G57	8.919733591	9.028852375	8.534188094	8.598110551	7.481313576	7.572897941	7.544498461	7.658848222	P1
G58	8.792577696	8.257121999	8.290687493	8.480383635	9.275839046	9.855018616	9.434032518	9.566385221	P1
G59	8.607510047	8.041230647	8.951363233	8.421156162	9.339152447	9.839943681	9.351222663	9.568486412	P1
G60	8.454565465	8.658157107	8.45209733	8.832729602	9.233199971	10.42817254	10.11957407	10.31669072	P1
G61	8.345923159	8.464799824	8.815559113	8.560617521	9.128698739	8.666892157	8.710917828	8.838011075	P1
G62	8.035428727	7.620286421	7.661701178	7.666064885	7.631904174	7.644406595	7.599278902	7.738921527	P1
G63	9.962014175	10.31491478	9.855018616	9.868694056	8.819860666	8.605894706	8.622942548	8.593345221	P1
G64	10.23705956	10.25080739	9.814632918	10.01622439	8.050570197	7.971284974	8.226349398	8.217476616	P1
G65	9.205418922	9.567276606	9.467940282	9.568486412	10.87815309	10.85021181	11.08151606	11.13039998	P1
G66	8.536699722	8.637205626	8.646738071	8.554443548	8.55286484	8.733088954	8.835049999	8.805298083	P1
G67	8.53355549	7.759557162	7.989767982	8.188647252	8.222642314	8.395407726	8.171132266	8.285319294	P1
G68	9.526215211	9.733701408	10.67652249	11.20973029	8.667473001	8.794048724	7.801865629	8.053175474	P1
G69	8.007795448	7.898956894	8.340139356	8.11437199	8.09086696	7.896427905	7.900810694	8.057410076	P1
G70	7.549053154	7.689563501	7.565112442	7.823741299	7.652901195	7.690343326	7.647721875	7.645392712	P1
G71	8.381075067	7.82416338	7.770813024	7.892068834	7.789253615	7.870746192	7.912406795	8.018158672	P1
G72	7.972387395	8.171942335	8.127487015	8.146055212	8.788018057	8.641076498	8.457721503	8.636159649	P1
G73	7.89841685	8.132818712	7.889787496	8.133229813	8.416802924	8.197447016	8.059282839	7.998653551	P1
G74	7.795152903	8.019527581	7.770106831	7.815118131	7.783285163	7.765438973	7.723895764	7.843024742	P1
G75	10.82681767	10.69893017	10.54075147	10.65698244	9.704933552	10.18980403	10.37974503	10.68914202	P1
G76	10.00970388	9.97003572	9.749041377	9.727093081	9.526215211	9.80853544	9.533041354	9.549238703	P1
G77	8.63000852	8.179257363	8.340937533	8.17722021	8.106820282	8.323252575	8.074079751	8.17992935	P1
G78	7.544498461	7.600214765	7.641039961	7.656616626	7.655711383	8.01031903	7.636939079	7.841123947	P1
G79	8.183436931	8.099777334	8.360957682	8.420224549	8.735164394	8.641840679	8.633292297	8.829950964	P1
G80	8.356275868	8.519009289	8.447732772	8.44191535	8.794529713	9.759937164	9.339152447	9.530700423	P1
G81	9.102184971	9.359236796	9.190327548	9.281283054	9.578360713	10.37974503	9.909777545	10.05180758	P1
G82	8.827155698	8.662189834	8.384293773	8.802129659	9.742318706	9.613242042	9.759937164	9.610936526	P1
G83	8.490990538	8.474049462	8.389557357	8.237289528	8.15537004	7.937041674	8.268137472	8.022800263	P1
G84	8.047919029	8.237289528	8.344915906	8.313597685	8.300979925	7.801865629	8.680162068	7.935920298	P1
G85	10.56788265	10.39214074	10.773107	10.56491125	10.24808042	9.706964434	9.663375172	9.561428572	P1
G86	7.657623875	7.700123937	7.798267692	7.601468076	7.749022088	8.281314497	7.636115407	7.965301981	P1
G87	7.55361392	7.783936048	7.5207144	7.747248517	7.565112442	7.684451426	7.576147572	7.532157622	P1
G88	8.360957682	7.93551045	8.041230647	7.963063983	7.796406938	7.71467287	7.722532807	7.810632693	P1
G89	7.648801632	7.609635828	7.756427076	7.747248517	8.017438968	7.60169829	7.876453752	7.646377863	P1
G90	7.912406795	7.799594351	7.939494948	7.884282718	7.742478236	8.17722021	7.917758981	8.225241475	P1
G91	7.602737369	7.421945881	7.802396124	7.615292226	7.807500057	8.074079751	7.997138366	8.136078172	P1
G92	10.63770115	10.65895379	10.44125811	10.82681767	10.75151178	10.21917262	10.73747483	10.92225944	P1
G93	7.42310857	7.60329178	7.670556932	7.616029663	8.13029166	7.69570138	7.627253877	7.751350251	P1
G94	7.646377863	7.897306805	7.769634002	8.033102926	7.998653551	8.002455609	7.802396124	7.780501502	P1
G95	9.439351738	9.302117491	8.436924675	8.468868341	8.600649684	8.395785098	8.646738071	8.615276662	P1
G96	8.468189742	8.342332439	9.077253801	8.536699722	9.344497879	8.623973441	9.092894699	8.789736994	P1
G97	7.504666553	7.484136808	7.693836232	7.518556973	7.750679262	7.781133669	8.075761851	7.698988172	P1
G98	10.22438091	10.71878935	9.725639137	10.22642705	9.144312802	9.668493842	9.194435579	9.200679714	P1
G99	8.178261585	8.09086696	8.300427054	8.096875674	7.969884803	7.828361234	7.884815218	8.095608451	P1
G100	8.369169725	7.464774975	9.331914358	7.441104894	8.623973441	7.611084472	7.662527437	7.689563501	P1
G101	8.459462991	8.402936732	8.269782309	8.337444563	7.944440921	8.055676575	8.047498108	8.137856187	P1
G102	10.66987918	10.80238502	10.57663143	10.74023625	8.259742619	8.381075067	8.179257363	8.316561075	P1
G103	9.336222217	8.887662784	9.286841661	9.094662409	8.408303002	8.638746753	8.355649302	8.487189325	P1
G104	10.05615591	10.21175533	10.10159938	10.46284518	10.36784512	10.70495405	10.53865423	10.73506955	P1
G105	9.855018616	9.968277776	10.21346202	10.08179623	11.16295386	11.13039998	10.97913857	11.09964304	P1
G106	8.109774834	8.236031511	8.211038801	8.285319294	8.073566105	7.884815218	8.124411857	7.968544952	P1
G107	9.524610634	9.437815418	9.159292282	9.200679714	8.383211081	8.151305946	8.286970068	8.267734659	P1
G108	8.362467045	9.288885265	9.818358886	10.52477052	10.53572237	7.825798509	8.520465299	7.809190312	P1
G109	9.679998965	9.560128025	9.733701408	9.542654969	10.38986014	9.615800911	10.50147398	10.32437464	P1
G110	9.340164998	9.321783607	9.586666223	9.452390681	9.952214511	9.654288282	9.518919956	9.526215211	P1
G111	14.23348212	13.87560148	14.34921478	14.13025968	14.4539766	14.23348212	14.02416915	14.1095164	P1
G112	8.407322634	8.124411857	8.413098277	8.419189586	8.165937404	8.626537632	8.161526288	8.318009976	P1
G113	9.624395211	7.461701702	7.273214887	7.485785072	7.327376735	7.467895255	7.371454414	7.356136672	P1
G114	7.34120471	7.49534012	7.304706966	7.323295572	7.723485972	7.433433548	7.600214765	7.570669044	P1
G115	9.665940846	9.585336918	9.791120012	9.769851205	9.472674327	8.951363233	9.048091973	10.09182489	P1
G116	11.47817498	10.61756865	12.03044392	11.14773964	14.13025968	13.80421134	13.72374119	14.02416915	P1
G117	7.45460647	7.677706444	7.476329127	7.681197123	7.843024742	7.881612087	8.02138374	7.803153983	P1
G118	9.23525884	9.609361929	9.132238324	9.118756517	8.697316043	9.333247295	9.374461559	9.253550618	P1
G119	7.66081934	7.739419733	7.710487086	7.718867475	7.930053763	7.763147105	8.589480056	7.76778681	P1
G120	7.533204804	7.522798554	7.467895255	7.487086607	7.645392712	7.930571589	7.865267048	8.131177796	P1
G121	7.69570138	7.426630272	7.383321719	7.283794325	7.543417907	7.690916768	7.403919588	7.476329127	P1
G122	7.434618731	7.573630808	7.671423785	7.34120471	8.062292804	7.767320615	7.838537826	7.990784795	P1
G123	10.91118176	10.83160263	10.77650007	10.76391352	12.09620789	11.20973029	11.87106164	10.73124916	P1
G124	10.51092155	10.54075147	10.59213224	10.57663143	11.42129056	10.25080739	11.37616182	11.06333256	P1
G125	7.663071925	7.670556932	7.634852347	7.356136672	8.66324938	8.162710768	8.948174851	8.664170253	P1
G126	8.020700047	8.109240744	8.186275588	8.39237688	8.192466635	8.674209462	8.313267436	8.504655795	P1
G127	8.928397996	8.931878575	8.765323042	8.744708425	7.908927314	8.156194785	7.865667885	7.979403362	P1
G128	7.656616626	7.492549004	7.266203916	7.429347558	7.429347558	7.688523727	7.405838695	8.192466635	P1
G129	7.541904384	7.711985541	7.685600555	7.609635828	8.365668281	7.992779308	8.221967192	8.450098356	P1
G130	10.87815309	10.76130187	10.93037613	10.55881167	11.5133061	10.43062286	11.42923423	10.61562671	P1
G131	7.92874677	7.935920298	7.987859919	8.021073644	8.38505949	8.405175382	8.303293134	8.457721503	P1
G132	14.02416915	13.84809335	14.07202493	13.75309845	13.93259554	12.7367192	14.1095164	13.52006329	P1
G133	12.24323811	12.33533219	12.21656739	12.53599743	10.63351732	11.29286056	10.45502664	10.74023625	P1
G134	9.472674327	9.043256942	8.86594086	8.954142682	7.81747585	8.070617872	8.086878829	8.05533105	P1
G135	7.769634002	7.715936461	7.991680654	7.927325228	9.761097743	7.643066223	9.292702462	7.699575003	P1
G136	7.869623726	7.845573875	8.323252575	8.086878829	8.357194354	8.014287083	8.197008477	8.273959098	P1
G137	7.679148327	7.811197241	7.787526142	7.572897941	8.051338198	7.51671493	7.898956894	7.565112442	P1
G138	8.115502419	8.539555918	8.452597162	8.185593084	8.088119091	7.851983129	7.826536696	7.773135546	P1
G139	7.76096294	7.719721543	7.79181429	7.758547331	8.049050316	7.904003604	7.960272487	7.686869668	P1
G140	7.810632693	8.001632305	7.743874569	8.035428727	7.814404231	7.759557162	8.031704976	7.697149159	P1
G141	7.4663579	7.616029663	7.461701702	7.529635106	7.503434246	7.844591261	7.49534012	8.674980833	P1
G142	7.503434246	7.778001018	7.616029663	7.743395805	7.408702636	7.768955635	7.552222924	7.591321197	P1
G143	8.246493012	7.992779308	7.867162535	8.045906952	7.770813024	7.866013213	7.828058984	7.781133669	P1
G144	8.175619489	8.320650006	8.460922232	8.403578511	7.685600555	7.738705071	7.607989521	7.951485531	P1
G145	7.562848403	7.666960214	7.690343326	7.717241213	7.898956894	8.180603011	7.82899761	7.763889758	P1
G146	7.949736906	8.311175515	8.056708797	8.115502419	7.668044931	7.926136115	7.881612087	7.914663482	P1
G147	7.796406938	7.798267692	7.686197123	7.799594351	9.026159548	9.286841661	9.124914268	9.234425763	P1
G148	7.558701435	7.733695887	7.657623875	7.671976775	7.726118652	7.795152903	7.672753005	7.969041065	P1
G149	7.647721875	7.925085266	7.750110194	7.796406938	7.849148767	7.519634136	7.786215741	7.636115407	P1
G150	7.636115407	7.662527437	7.715417956	7.59358925	8.683457242	8.580047899	9.899852679	8.263919361	P1
G151	7.535967498	7.476329127	7.587727909	7.405838695	7.880591924	7.576147572	7.811533238	7.843603459	P1
G152	8.082676782	8.440644512	8.260925599	8.339180245	8.598586676	8.27796339	8.309484076	8.085951682	P1
G153	7.463963081	7.566058131	7.649852358	7.414842572	7.594270746	7.49534012	7.619416248	7.514943863	P1
G154	7.731378463	8.078434516	7.787978289	7.905281392	7.552222924	7.698988172	7.573630808	7.555103768	P1
G155	7.616029663	7.77362907	7.729716597	7.742478236	7.541904384	7.770106831	7.887358703	7.673646347	P1
G156	7.86907472	7.706833212	7.847939797	8.034128128	8.975873992	7.940803953	8.864696965	7.737262473	P1
G157	7.441104894	7.594270746	7.496786145	7.551129404	7.615292226	7.792804752	7.834782995	7.85388416	P1
G158	8.251022562	8.412303376	8.15537004	8.283999231	8.771380415	9.739576528	9.693710607	9.763668544	P1
G159	7.842376299	8.009221425	8.076243818	7.879891611	8.197008477	9.036614513	8.926389893	8.850862246	P1
G160	7.784461252	7.643066223	7.9578062	7.825798509	8.146055212	7.89369861	7.988958296	7.922889179	P1
G161	11.07012082	10.92225944	11.26245173	10.94039591	10.96095926	10.80238502	10.87624407	11.03496025	P1
G162	8.230541794	8.348113507	8.357194354	8.477800761	9.75734087	10.09096681	9.786988298	9.968277776	P1
G163	7.333293425	7.357532851	7.543417907	7.598501386	7.660186241	7.611826066	7.478971913	7.582792148	P1
G164	8.389019707	8.68613713	8.410610391	8.726707676	8.341367167	7.905813078	8.360957682	8.015187299	P1
G165	7.896940052	7.684451426	7.975274435	7.987297543	9.372428823	8.220392229	8.827155698	8.279488478	P1
G166	7.592117616	7.846155304	7.809190312	7.847288166	9.57232674	9.579679514	9.069692329	9.17446823	P1
G167	10.14312418	10.09096681	9.62821086	9.827162289	9.33053748	10.34194592	10.05615591	10.28377206	P1
G168	8.329126372	8.470736795	7.960675431	8.215012137	9.206359635	9.375713627	9.452390681	9.29772999	P1
G169	7.689563501	7.579504497	7.546555037	7.567189794	7.634852347	7.813773954	8.175619489	8.004782662	P1
G170	14.4539766	14.54949555	14.29742414	14.34921478	14.84947106	14.64985907	15.04639294	14.3795957	P1
G171	8.662189834	9.118756517	8.971251914	8.714667523	10.77650007	9.965119582	10.18854053	9.619037001	P1
G172	7.993162446	8.205889432	8.127894858	7.946299668	8.187641849	7.641039961	8.181326336	7.785817402	P1
G173	8.460922232	8.708238046	8.823674649	8.481499314	16.17730801	8.181326336	10.65698244	7.92874677	P1
G174	8.532676117	8.415338674	8.984396264	8.59277651	8.228952367	7.783575162	8.061968717	8.101031195	P1
G175	7.775197361	8.057410076	7.823741299	8.256834902	8.101031195	7.755243331	7.844304235	7.761530577	P1
G176	7.476329127	7.976710986	7.527572854	7.434618731	7.737262473	7.552222924	7.641039961	7.592872682	P1
G177	9.256226484	9.281283054	8.898670772	9.288885265	7.992779308	7.810632693	8.011958216	8.141114135	P1
G178	7.561995971	7.449249746	7.547608441	7.432057018	7.60425931	7.763889758	7.720873573	7.750679262	P1
G179	9.0057682	8.492449726	8.598110551	8.476565808	8.875798291	8.78088952	8.695677083	8.872516055	P1
G180	7.546555037	7.781377384	7.607989521	7.920569503	7.900224837	7.79181429	7.689563501	7.845573875	P1
G181	8.154210127	7.939494948	8.326976136	8.076243818	8.030290979	7.790896517	7.770813024	8.112545925	P1
G182	8.366237608	8.71032349	8.801267386	8.621796972	8.976849281	8.70673953	9.037627759	8.737322049	P1
G183	8.03072158	7.469742851	7.961069902	7.442863694	8.659183336	8.358542132	8.284337673	8.254514698	P1
G184	7.403919588	7.485785072	7.407177087	7.469742851	7.620286421	7.886832637	7.933396688	7.800860216	P1
G185	7.408702636	7.251886508	7.156469632	7.295827324	7.345214531	7.399482216	7.277439352	7.156469632	P1
G186	10.47321491	10.53355614	10.27474028	10.43943285	10.90688771	11.52034595	11.46387857	11.61872555	P1
G187	7.772474525	7.498046556	8.213970645	7.597611644	7.519634136	7.681197123	8.27727706	7.544498461	P1
G188	7.856334881	7.736762537	7.892068834	7.91286337	8.347124115	8.297098435	8.236031511	8.372667475	P1
G189	7.847495996	7.476329127	7.508839355	7.45712789	7.517621658	7.545238285	7.462912162	7.522798554	P1
G190	7.401808839	7.436072971	7.535967498	7.607989521	7.625039337	7.597611644	7.76096294	8.033102926	P1
G191	7.651191154	7.60169829	7.647721875	7.320579854	7.907240521	7.59358925	8.265937664	7.720873573	P1
G192	9.645610714	9.356453356	9.193288854	9.608041971	9.956765729	9.907894125	9.245803554	9.636398862	P1
G193	10.0946829	10.44125811	9.888727544	10.14641139	10.81313406	11.75124078	11.12093008	11.32500747	P1
G194	8.864696965	9.247966671	8.884448498	9.03118153	8.755601558	9.030117895	8.855676438	8.947225773	P1
G195	8.929960872	8.811318763	8.901972658	8.651967361	9.197286717	9.985907039	9.542654969	9.767866431	P1
G196	8.418292608	8.497214143	8.733088954	8.468189742	8.936682012	8.781868928	8.868588584	8.816906098	P1
G197	8.285885976	7.756427076	7.77578207	7.862027422	8.034855901	7.889787496	7.849148767	7.986047733	P1
G198	7.706833212	7.863896643	7.837079055	7.97900855	8.61686599	8.478590514	8.672784656	8.59277651	P1
G199	7.713047238	7.699575003	7.743395805	7.944090839	7.783936048	7.734724123	7.81747585	7.668754698	P1
G200	7.394589889	7.752885966	7.77362907	7.729716597	7.64378655	7.757771592	7.686869668	7.632630392	P1
G201	7.727482848	7.636939079	7.552222924	7.743874569	7.462912162	7.637702107	7.606453447	7.693251634	P1
G202	7.569163573	7.452468063	7.526659438	7.639397277	7.747248517	7.792296195	7.727482848	7.705035266	P1
G203	8.340139356	7.874622819	7.864485882	8.066643217	7.808513252	7.838175253	7.686197123	7.830859341	P1
G204	7.407177087	7.646377863	7.533204804	7.526659438	7.643066223	7.586128863	7.670556932	7.745943314	P1
G205	7.805981221	7.644406595	7.91286337	7.676773615	9.098923592	8.965462088	8.929960872	8.931878575	P1
G206	7.411963705	7.391142894	7.577422791	7.449249746	7.644406595	7.540823594	7.660186241	7.437917045	P1
G207	8.198886038	7.760294027	7.705035266	7.687461401	7.607989521	7.884282718	7.812104319	7.865267048	P1
G208	7.690916768	7.556983792	7.510671831	7.847495996	7.623760251	7.820220303	7.843024742	8.165937404	P1
G209	10.17792983	9.742318706	10.27197303	10.49510963	9.160486676	9.753657273	9.411109834	9.656745281	P1
G210	12.97694515	13.04902976	13.14113533	12.93979049	13.75309845	13.93259554	13.44681022	13.44681022	P1
G211	11.04067407	10.85976653	11.29894684	11.10606143	11.70639885	11.62462571	11.33626093	11.4749421	P1
G212	9.493698346	8.730282777	9.779429562	9.496296957	9.542654969	9.836041245	9.065248752	9.288408671	P1
G213	7.815118131	7.970524529	7.996143707	8.050826823	7.931009033	8.275792082	8.110880618	8.097494032	P1
G214	9.132809866	8.995493344	8.736348876	9.030117895	8.842810207	9.156449739	9.049277891	9.306444667	P1
G215	12.53599743	12.56048495	12.60564855	12.54392407	12.20859206	13.00237959	12.91505867	12.90481187	P1
G216	8.59757628	8.300427054	8.25045339	8.275792082	8.470122062	8.713111431	8.336520818	8.43160479	P1
G217	10.53730302	10.48969426	10.7427222	10.72121798	11.61872555	11.73262833	11.34217207	11.53519595	P1
G218	10.8070303	11.1261524	11.40081976	11.20442536	13.15961312	13.34588774	12.89354223	12.64431316	P1
G219	10.30395508	10.50051419	10.18980403	10.06179005	11.14163165	10.54075147	10.92225944	10.58644111	P1
G220	8.201699686	7.980615594	7.82899761	7.915705466	8.111754796	7.671976775	8.097494032	7.832246051	P1
G221	8.474049462	8.73231586	8.398676474	8.463306675	8.081336157	7.820764974	8.107655173	7.860930599	P1
G222	15.74575269	15.74575269	15.61389067	15.61389067	15.30312903	15.15521229	15.45225596	15.30312903	P1
G223	10.42653208	10.26334719	10.42817254	10.33893736	10.0184131	9.716649596	9.982651283	9.985907039	P1
G224	11.78980737	11.67917877	12.05498333	11.97964251	13.82289618	13.56238369	13.49684605	13.34588774	P1
G225	8.746634675	9.036614513	8.761428524	8.973018703	8.807790148	9.012828649	8.823674649	8.790444457	P1
G226	10.09003412	9.699297036	10.53572237	10.15723625	11.09112341	10.96322769	10.70272838	10.8180151	P1
G227	9.176486018	9.154525027	9.023277385	9.326985628	8.351642858	8.824671287	8.70926356	8.836484356	P1
G228	8.654348146	8.915362295	8.71625956	8.783193187	9.105684715	9.822036014	9.526215211	9.609361929	P1
G229	8.661097821	8.584374107	8.562691443	8.570523085	8.817890161	9.300180356	8.984396264	8.931030876	P1
G230	8.458452695	8.307894978	8.920829643	9.184392515	9.499489191	9.647640235	9.515563398	9.57232674	P1
G231	8.673697752	8.517028074	8.806996346	8.835049999	9.223105161	9.590053287	9.200679714	9.326985628	P1
G232	9.633649499	9.917356234	9.845341557	9.662116662	8.342332439	8.137856187	8.323983999	8.162710768	P1
G233	8.357194354	8.256834902	8.282478832	8.215907677	8.083832159	7.882458647	8.095608451	7.856334881	P1
G234	9.236348077	9.403094998	9.385183729	9.242806656	9.201791476	9.048877965	9.487452843	9.606008254	P1
G235	9.499489191	9.336222217	9.206359635	9.232356163	9.416443219	9.354767247	9.613242042	9.558285501	P1
G236	9.321783607	9.385183729	9.494829277	9.51070197	8.334378772	8.132818712	8.204522411	8.331479884	P1
G237	13.40910848	13.12249441	13.47181417	13.52006329	13.38433937	13.22118502	12.97694515	12.92543954	P1
G238	8.697316043	8.969270564	8.650853026	8.743815914	8.99291633	8.968288582	8.811318763	8.757810249	P1
G239	8.615982319	8.162302716	7.792804752	7.763889758	7.846682047	8.283127089	7.645392712	7.836053268	P1
G240	12.82218016	13.00237959	12.72452959	12.79148183	11.29894684	11.64613937	11.73262833	11.64613937	P1
G241	8.380073769	8.596085908	8.035428727	8.149548966	7.664034569	7.874622819	7.880591924	7.90634809	P1
G242	9.265848717	8.657423635	9.281283054	9.446687069	8.714667523	8.99768288	9.175358175	9.417419305	P1
G243	9.454705612	9.475940457	9.395007062	9.469830282	8.835049999	9.043256942	8.937512459	8.957239409	P1
G244	8.612908056	8.553666056	8.651967361	8.562691443	8.629072011	8.703396144	8.63000852	8.646099269	P1
G245	10.24704954	10.21346202	10.2996155	9.842614813	10.68914202	9.838185648	10.2058545	9.472674327	P1
G246	8.59757628	8.500225017	8.685271193	8.509125641	8.228952367	7.848466823	8.15537004	7.911723515	P1
G247	11.62820934	11.49523094	11.74750208	11.57649408	13.09972748	12.52171047	13.54313459	13.21011278	P1
G248	10.84150051	10.70908137	11.01391874	10.84701454	12.26838437	11.70639885	11.62462571	11.76176323	P1
G249	10.43676406	10.25717483	10.43943285	10.12614258	11.63770319	10.47703819	11.79718603	11.38185053	P1
G250	9.640628377	9.443614638	9.681347753	9.462627966	8.666439705	8.336877676	8.394581202	8.307209864	P1
G251	14.7776308	14.84947106	14.50488723	14.60417961	13.52006329	14.15254594	13.87560148	13.62676318	P1
G252	10.56491125	10.60383763	10.67902236	10.71152244	9.769851205	9.638000959	9.496296957	9.498485873	P1
G253	9.377454438	9.900826167	9.082526347	9.253550618	8.733904744	9.467940282	9.527692989	9.521927913	P1
G254	10.55269043	10.53572237	10.57861695	10.68914202	11.1261524	11.57649408	11.39290309	11.44629357	P1
G255	8.573893166	8.681457139	8.599446501	8.891302309	8.744708425	9.130959749	8.936682012	8.946744152	P1
G256	9.973724627	10.04075419	10.39214074	10.13422359	10.71878935	10.70647291	10.44466991	10.67902236	P1
G257	9.697480863	9.769851205	9.735078991	9.519863207	11.02118965	10.13641749	10.5274296	9.952214511	P1
G258	9.577374867	9.721811027	9.739576528	9.499489191	10.93533831	10.0352426	10.89252865	10.16868693	P1
